run_id,timestamp,timestamp_utc,asset,category,price,sma20,sma200,realized_vwap,p_dev,mvrv_ratio,mvrv_score,flow_ratio,flow_score,vol_ratio,vol_score,v_internal,vam_final,status,action,target_weight_pct,vam_market_final,market_regime,btc_score,altcoin_index,weight_btc_cap,weight_alt_cap,funding_rate_pct,leverage_status,leverage_penalty_pct,gold_ratio_paxg_btc,risk_paxg_pct,total_risk_penalty_pct,target_alloc_btc_pct,target_alloc_alt_pct,target_alloc_paxg_pct,target_alloc_usdt_pct,eth_rpc_source,eth_latest_block,eth_tx_count_5b,eth_active_addrs_5b,top_5_basket
20260905_155634,2026-09-05 15:56:34,2026-09-05 08:56:34 UTC,BTC,Core,79622.22,76462.0585,69718.2215,81766.4967,90.91,0.9738,9.65,0.9361,35.13,1.0567,52.83,49.66,47.19,CÂN BẰNG,GIỮ NGUYÊN TỶ TRỌNG CHUẨN,33.54,46.12,CÂN BẰNG CHU KỲ (Fair Value) -> Giữ cấu trúc danh mục ổn định,47.19,43.63,70.0,30.0,-0.0002,Đòn bẩy cân bằng (Neutral Leverage),0.0,0.055662,4.98,4.98,33.54,35.8,5.49,25.17,Live_RPC (ethereum-rpc.publicnode.com),25910070,970,1129,"ETH,BNB,XRP,SOL,TRX"
20260905_155634,2026-09-05 15:56:34,2026-09-05 08:56:34 UTC,ETH,Altcoin,2455.63,2388.5265,2036.9543,2737.796,90.81,0.8969,5.39,0.9591,43.59,1.213,60.65,51.22,48.66,CÂN BẰNG,GIỮ NGUYÊN TỶ TRỌNG CHUẨN,7.16,46.12,CÂN BẰNG CHU KỲ (Fair Value) -> Giữ cấu trúc danh mục ổn định,47.19,43.63,70.0,30.0,-0.0002,Đòn bẩy cân bằng (Neutral Leverage),0.0,0.055662,4.98,4.98,33.54,35.8,5.49,25.17,Live_RPC (ethereum-rpc.publicnode.com),25910070,970,1129,"ETH,BNB,XRP,SOL,TRX"
20260905_155634,2026-09-05 15:56:34,2026-09-05 08:56:34 UTC,BNB,Altcoin,750.4,686.1925,620.5716,875.2214,93.48,0.8574,3.19,0.9559,50.71,0.9753,48.77,51.13,48.58,CÂN BẰNG,GIỮ NGUYÊN TỶ TRỌNG CHUẨN,7.16,46.12,CÂN BẰNG CHU KỲ (Fair Value) -> Giữ cấu trúc danh mục ổn định,47.19,43.63,70.0,30.0,-0.0002,Đòn bẩy cân bằng (Neutral Leverage),0.0,0.055662,4.98,4.98,33.54,35.8,5.49,25.17,Live_RPC (ethereum-rpc.publicnode.com),25910070,970,1129,"ETH,BNB,XRP,SOL,TRX"
20260905_155634,2026-09-05 15:56:34,2026-09-05 08:56:34 UTC,XRP,Altcoin,1.4062,1.3542,1.2744,1.7663,93.37,0.7961,0.0,0.9707,68.41,0.8836,44.18,52.99,50.35,CÂN BẰNG,GIỮ NGUYÊN TỶ TRỌNG CHUẨN,7.16,46.12,CÂN BẰNG CHU KỲ (Fair Value) -> Giữ cấu trúc danh mục ổn định,47.19,43.63,70.0,30.0,-0.0002,Đòn bẩy cân bằng (Neutral Leverage),0.0,0.055662,4.98,4.98,33.54,35.8,5.49,25.17,Live_RPC (ethereum-rpc.publicnode.com),25910070,970,1129,"ETH,BNB,XRP,SOL,TRX"
20260905_155634,2026-09-05 15:56:34,2026-09-05 08:56:34 UTC,SOL,Altcoin,102.51,96.962,82.3508,123.9092,91.23,0.8273,1.52,1.0047,47.96,0.7104,35.52,47.31,44.95,CÂN BẰNG,GIỮ NGUYÊN TỶ TRỌNG CHUẨN,7.16,46.12,CÂN BẰNG CHU KỲ (Fair Value) -> Giữ cấu trúc danh mục ổn định,47.19,43.63,70.0,30.0,-0.0002,Đòn bẩy cân bằng (Neutral Leverage),0.0,0.055662,4.98,4.98,33.54,35.8,5.49,25.17,Live_RPC (ethereum-rpc.publicnode.com),25910070,970,1129,"ETH,BNB,XRP,SOL,TRX"
20260905_155634,2026-09-05 15:56:34,2026-09-05 08:56:34 UTC,TRX,Altcoin,0.3328,0.3358,0.3245,0.31,27.56,1.0735,15.19,0.8358,28.84,0.9314,46.57,26.96,25.61,ĐỊNH GIÁ THẤP,TÍCH LŨY MẠNH (+Tỷ trọng),7.16,46.12,CÂN BẰNG CHU KỲ (Fair Value) -> Giữ cấu trúc danh mục ổn định,47.19,43.63,70.0,30.0,-0.0002,Đòn bẩy cân bằng (Neutral Leverage),0.0,0.055662,4.98,4.98,33.54,35.8,5.49,25.17,Live_RPC (ethereum-rpc.publicnode.com),25910070,970,1129,"ETH,BNB,XRP,SOL,TRX"
20260905_155634,2026-09-05 15:56:34,2026-09-05 08:56:34 UTC,PAXG,Hedge,4431.95,,,,,,,,,,,,,Phòng thủ Vĩ mô,Bảo hiểm tài sản,5.49,46.12,CÂN BẰNG CHU KỲ (Fair Value) -> Giữ cấu trúc danh mục ổn định,47.19,43.63,70.0,30.0,-0.0002,Đòn bẩy cân bằng (Neutral Leverage),0.0,0.055662,4.98,4.98,33.54,35.8,5.49,25.17,Live_RPC (ethereum-rpc.publicnode.com),25910070,970,1129,"ETH,BNB,XRP,SOL,TRX"
20260905_155634,2026-09-05 15:56:34,2026-09-05 08:56:34 UTC,USDT,Cash,1.0,,,,,,,,,,,,,Thanh khoản Chờ Gom,Dry Powder,25.17,46.12,CÂN BẰNG CHU KỲ (Fair Value) -> Giữ cấu trúc danh mục ổn định,47.19,43.63,70.0,30.0,-0.0002,Đòn bẩy cân bằng (Neutral Leverage),0.0,0.055662,4.98,4.98,33.54,35.8,5.49,25.17,Live_RPC (ethereum-rpc.publicnode.com),25910070,970,1129,"ETH,BNB,XRP,SOL,TRX"
20260905_160351,2026-09-05 16:03:51,2026-09-05 09:03:51 UTC,BTC,Core,79688.71,76465.383,69718.554,81766.5023,90.97,0.9746,9.7,0.9361,35.13,1.0567,52.83,49.7,47.24,CÂN BẰNG,GIỮ NGUYÊN TỶ TRỌNG CHUẨN,33.53,46.17,CÂN BẰNG CHU KỲ (Fair Value) -> Giữ cấu trúc danh mục ổn định,47.24,43.68,70.0,30.0,-0.0002,Đòn bẩy cân bằng (Neutral Leverage),0.0,0.055621,4.94,4.94,33.53,35.8,5.47,25.2,Live_RPC (ethereum-rpc.publicnode.com),25910106,1243,1418,"ETH,BNB,XRP,SOL,TRX"
20260905_160351,2026-09-05 16:03:51,2026-09-05 09:03:51 UTC,ETH,Altcoin,2458.33,2388.6615,2036.9678,2737.7959,90.86,0.8979,5.44,0.9591,43.59,1.213,60.65,51.25,48.72,CÂN BẰNG,GIỮ NGUYÊN TỶ TRỌNG CHUẨN,7.16,46.17,CÂN BẰNG CHU KỲ (Fair Value) -> Giữ cấu trúc danh mục ổn định,47.24,43.68,70.0,30.0,-0.0002,Đòn bẩy cân bằng (Neutral Leverage),0.0,0.055621,4.94,4.94,33.53,35.8,5.47,25.2,Live_RPC (ethereum-rpc.publicnode.com),25910106,1243,1418,"ETH,BNB,XRP,SOL,TRX"
